,明天_最高价_真实值,明天_最高价_预测值,最高价,最低价,今收盘价
0,11.66,15.709274188647457,11.73,11.5,11.62
1,34.43,28.46714805742512,33.7,32.88,33.4
2,8.97,15.709274188647457,9.38,8.65,8.92
3,46.76,40.87525941320396,46.75,45.35,45.42
4,16.5,17.31904654269471,16.43,16.16,16.32
5,7.01,15.709274188647457,7.02,6.91,6.97
6,8.89,15.709274188647457,9.06,8.75,8.81
7,3433.0081,3422.230931185069,3448.6855,3399.2439,3416.5997
8,6.55,15.709274188647457,6.56,6.43,6.53
9,23.95,21.71366021825979,23.52,22.89,23.47
10,13.04,15.709274188647457,12.44,12.23,12.34
11,3.58,15.709274188647457,3.55,3.49,3.5
12,44.7,38.76885877159646,45.75,44.4,44.8
13,45.81,40.87525941320396,45.8,44.6,45.34
14,12.3,15.709274188647457,12.06,11.91,12.03
15,7.12,15.709274188647457,7.19,7.02,7.07
16,15.76,16.47641697823411,15.74,15.05,15.59
17,10.52,15.709274188647457,10.55,10.26,10.43
18,3610.1877,3627.475310692978,3638.0746,3586.7377,3594.5712
19,4.5,15.709274188647457,4.22,4.13,4.17
20,5.19,15.709274188647457,5.23,5.11,5.16
21,8.08,15.709274188647457,7.86,7.77,7.86
22,8594.4565,8677.36649734444,8585.2971,8520.999,8560.7994
23,6.39,15.709274188647457,6.09,5.9,6.07
24,8.1,15.709274188647457,8.15,7.52,8.08
25,5101.9582,4975.693819695563,5057.909,4933.2642,5056.9225
26,19.36,18.139964950038124,19.52,19.12,19.29
27,1.9,15.709274188647457,1.92,1.87,1.87
28,11.77,15.709274188647457,12.08,11.65,11.72
29,9.11,15.709274188647457,9.23,8.91,8.98
30,5.55,15.709274188647457,5.42,5.34,5.37
31,2.62,15.709274188647457,2.63,2.59,2.61
32,6.27,15.709274188647457,6.38,6.16,6.3
33,8.3,15.709274188647457,8.47,8.19,8.37
34,7.77,15.709274188647457,7.85,7.6,7.64
35,7.19,15.709274188647457,7.31,7.05,7.18
