primary_key,date,capital,shares_held,low,high,insert_timestamp,action,price,volume,state
be939aa305ac90bddee4658b2341388c,2023-03-02,1000000.0,0,49.38,52.52,2023-12-21 12:21:05,buy,47.53,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-03,1000000.0,0,49.61,52.2,2023-12-21 12:21:05,buy,48.17,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-06,1000000.0,0,49.58,51.18,2023-12-21 12:21:05,buy,48.61,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-07,1000000.0,17945,48.3,50.58,2023-12-21 12:21:05,buy,48.87,17945,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-08,123057.97105179622,17945,47.56,48.88,2023-12-21 12:21:05,sell,50.79,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-08,123057.97105179622,17945,47.56,48.88,2023-12-21 12:21:05,buy,47.44,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-09,123057.97105179622,17945,47.72,49.16,2023-12-21 12:21:05,sell,49.91,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-09,123057.97105179622,17945,47.72,49.16,2023-12-21 12:21:05,buy,47.45,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-10,123057.97105179622,17945,47.0,48.87,2023-12-21 12:21:05,sell,49.64,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-10,123057.97105179622,17945,47.0,48.87,2023-12-21 12:21:05,buy,45.95,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-13,123057.97105179622,2704,47.1,49.35,2023-12-21 12:21:05,sell,48.23,15241,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-13,123057.97105179622,2704,47.1,49.35,2023-12-21 12:21:05,buy,46.62,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-14,858058.4233965023,2704,47.39,49.15,2023-12-21 12:21:05,sell,50.07,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-14,858058.4233965023,2704,47.39,49.15,2023-12-21 12:21:05,buy,47.34,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-15,858058.4233965023,1010,47.95,50.38,2023-12-21 12:21:05,sell,49.21,1694,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-15,858058.4233965023,1010,47.95,50.38,2023-12-21 12:21:05,buy,46.3,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-16,941414.2521501572,162,47.11,50.08,2023-12-21 12:21:05,sell,48.7,848,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-16,941414.2521501572,162,47.11,50.08,2023-12-21 12:21:05,buy,46.79,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-17,982709.7494176234,37,49.94,53.59,2023-12-21 12:21:05,sell,51.07,125,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-17,982709.7494176234,37,49.94,53.59,2023-12-21 12:21:05,buy,48.55,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-20,989093.070494349,37,50.95,53.29,2023-12-21 12:21:05,sell,53.97,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-20,989093.070494349,37,50.95,53.29,2023-12-21 12:21:05,buy,50.49,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-21,989093.070494349,37,49.8,51.86,2023-12-21 12:21:05,sell,52.2,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-21,989093.070494349,19837,49.8,51.86,2023-12-21 12:21:05,buy,49.95,19800,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-22,2.158101588021964,19837,49.58,51.55,2023-12-21 12:21:05,sell,51.71,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-23,2.158101588021964,6945,51.42,56.71,2023-12-21 12:21:05,sell,52.99,12892,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-23,2.158101588021964,6945,51.42,56.71,2023-12-21 12:21:05,buy,49.41,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-24,683117.2373251806,987,56.5,60.83,2023-12-21 12:21:05,sell,58.06,5958,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-24,683117.2373251806,987,56.5,60.83,2023-12-21 12:21:05,buy,54.32,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-27,1029028.9371008482,987,58.5,62.05,2023-12-21 12:21:05,sell,62.64,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-27,1029028.9371008482,987,58.5,62.05,2023-12-21 12:21:05,buy,57.19,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-28,1029028.9371008482,987,57.93,60.35,2023-12-21 12:21:05,sell,61.86,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-28,1029028.9371008482,11633,57.93,60.35,2023-12-21 12:21:05,buy,58.08,10646,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-29,410675.8484730269,5857,56.78,60.8,2023-12-21 12:21:05,sell,60.27,5776,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-29,410675.8484730269,13069,56.78,60.8,2023-12-21 12:21:05,buy,57.64,7212,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-30,343101.82808078645,13069,57.45,60.19,2023-12-21 12:21:05,sell,60.68,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-30,343101.82808078645,13069,57.45,60.19,2023-12-21 12:21:05,buy,57.28,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-03-31,343101.82808078645,2369,57.49,64.16,2023-12-21 12:21:05,sell,60.98,10700,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-03-31,343101.82808078645,9793,57.49,64.16,2023-12-21 12:21:05,buy,57.82,7424,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-04-03,566382.2161121934,2436,65.34,69.4,2023-12-21 12:21:05,sell,67.49,7357,make_a_deal
be939aa305ac90bddee4658b2341388c,2023-04-03,566382.2161121934,2436,65.34,69.4,2023-12-21 12:21:05,buy,62.28,0,withdraw
be939aa305ac90bddee4658b2341388c,2023-04-04,1062938.7523361933,2436,64.43,70.1,2023-12-21 12:21:05,sell,71.03,0,withdraw
