rearLowPctChgReal,rearLowPctChgPred,rearHighPctChgReal,rearHighPctChgPred,rearDiffPctChgReal,rearDiffPctChgPred,open,high,low,close,volume,amount,turn,pctChg,remarks,primaryKey,date,code,code_name,isST
-1.797,-7.332,0.581,2.332,2.377,5.844,54.62,55.27,53.68,55.1,2618111.0,142024951.26,1.2979,0.8788,,d860d8b6c22c50573abab3ec4bc1db5d,2023-03-01,sh.688690,纳微科技,0
-1.86,-7.332,0.113,2.335,1.973,5.844,53.0,53.47,52.51,53.22,3164873.0,167627202.49,0.7316,0.7955,,23524b21b2c6c45a0a1f9ff3d195f6b7,2023-03-01,sh.688180,君实生物,0
-1.913,-7.332,0.701,2.332,2.614,5.844,52.8,53.64,52.25,52.79,1851210.0,98028837.58,0.3928,0.1328,,756badf279f33c88e7a427f5cef14974,2023-03-01,sz.300357,我武生物,0
-2.059,-7.332,0.998,2.332,3.056,5.844,128.99,129.76,126.9,127.27,1781882.0,227954652.81,2.6472,-0.9418,,4a3af07191532b4ba208d858f76a0940,2023-03-01,sh.688185,康希诺,0
-3.266,-7.079,0.0,2.304,3.266,5.837,46.46,46.7,45.48,45.62,1674975.0,76619232.73,0.9305,-1.681,,287ecc5a360359e62f27642a8d33ebb8,2023-03-01,sz.300653,正海生物,0
-1.868,-7.079,0.042,2.304,1.91,5.837,47.86,48.48,47.33,48.18,4000705.0,191961905.86,0.6117,0.7318,,b1aca51fbcb3a96a4cb628f64f0c6aa1,2023-03-01,sz.000423,东阿阿胶,0
-1.34,-4.981,0.172,2.304,1.512,5.837,29.48,29.57,28.96,29.11,5498429.0,160149480.08,0.9242,-1.0537,,c0b74244277b201c18162614b579d33d,2023-03-01,sh.600529,山东药玻,0
-1.227,-7.332,1.723,2.304,2.951,5.837,189.3,190.39,186.0,187.42,1064614.0,199138849.81,1.7913,-0.8622,,6c085a7a7a9c6feed87fc76beff1e6ee,2023-03-01,sh.688202,美迪西,0
-1.568,-7.332,0.194,2.304,1.762,5.837,84.28,85.14,81.7,82.29,3967318.0,328316178.13,0.8547,-2.3612,,3745f6cc5a4d914848ecfef082399005,2023-03-01,sh.603882,金域医学,0
-0.783,-7.332,0.0,2.304,0.783,5.837,57.69,57.75,56.9,57.48,6215168.0,356078909.9,0.3689,1.0193,,e24df5f515a9b0aaacc9a5e399c06f97,2023-03-01,sz.000538,云南白药,0
