rearLowPctChgReal,rearLowPctChgPred,rearHighPctChgReal,rearHighPctChgPred,rearDiffPctChgReal,rearDiffPctChgPred,open,high,low,close,volume,amount,turn,pctChg,remarks,primaryKey,date,code,code_name,isST,insert_timestamp
-1.002,-2.671,5.293,2.851,6.295,5.565,48.15,50.73,48.01,49.88,81624466.0,4063329191.63,3.711,3.1858,,4a3bab42311636c0d40e5033436bff36,2023-03-01,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.534,-2.721,2.554,2.691,5.088,5.546,49.55,52.52,49.38,50.9,84403275.0,4336915318.11,3.966,2.0449,,c4833ad2c9a6c36a760985b0b842e74d,2023-03-02,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.228,-2.687,0.927,2.594,3.155,5.391,50.3,52.2,49.61,50.71,74281859.0,3770907172.66,3.4904,-0.3733,,9c70a9357d5baa9da0e47cffcf224674,2023-03-03,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.014,-2.528,0.517,2.371,4.531,5.116,50.56,51.18,49.58,50.32,45626069.0,2290634126.57,2.1439,-0.7691,,b184c3243917261e0374a22305a4d167,2023-03-06,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.601,-2.602,0.102,2.709,2.703,5.395,50.29,50.58,48.3,48.83,45253189.0,2231404674.62,2.1264,-2.961,,1622f7a563ec44824f947ac412449b1e,2023-03-07,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.851,-2.359,1.111,2.441,2.962,5.001,48.73,48.88,47.56,48.62,47586709.0,2292046189.83,2.236,-0.4301,,bc077cd60284d315b28a0cdf4af727ca,2023-03-08,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.651,-2.331,1.222,2.312,3.873,4.791,48.71,49.16,47.72,48.28,36465197.0,1763326355.84,1.7134,-0.6993,,8088b8177e3362a6cb4adf001e529f04,2023-03-09,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.113,-2.612,3.611,2.393,4.724,5.142,47.6,48.87,47.0,47.63,49293288.0,2349189985.22,2.3162,-1.3463,,64f5e6fb0147a8d02c6beab685a9134c,2023-03-10,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.679,-2.694,-0.102,2.579,3.577,5.439,47.5,49.35,47.1,49.2,61095573.0,2968069194.7,2.8708,3.2962,,9f83b44511d1d27698415e30dd3c0563,2023-03-13,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.415,-2.528,4.631,2.592,5.047,5.184,48.8,49.15,47.39,48.15,45798050.0,2207796879.55,2.152,-2.1341,,3ce42ac92ed99a8a5830e0b5188818c2,2023-03-14,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.221,-2.45,3.944,2.479,6.164,5.109,49.2,50.38,47.95,48.18,58476089.0,2867222805.8,2.7477,0.0623,,28279eadb7536332e9723aed6c3d786a,2023-03-15,sz.002230,科大讯飞,0,2023-12-18 21:02:14
2.189,-2.599,9.658,2.624,7.469,5.291,47.4,50.08,47.11,48.87,70633747.0,3460875357.83,3.319,1.4321,,826d6c165d9428ea39c07081093e1de5,2023-03-16,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.544,-3.068,1.932,3.266,4.476,6.322,49.98,53.59,49.94,52.28,116750069.0,6080935514.29,5.4859,6.9777,,f342629bf9a494d026f352b613f43c8e,2023-03-17,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.506,-2.803,1.527,2.615,4.033,5.479,52.5,53.29,50.95,51.08,75932252.0,3970446495.13,3.5679,-2.2953,,d68eda216107308ef9f0224e662a550b,2023-03-20,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.44,-2.568,1.436,2.448,3.876,5.192,51.1,51.86,49.8,50.82,55768980.0,2834318008.12,2.6205,-0.509,,41196e7d079a0a1c744f3a6f429d916b,2023-03-21,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.252,-1.815,10.01,1.76,10.262,3.821,50.0,51.55,49.58,51.55,68251222.0,3462691751.31,3.207,1.4364,,088be54402a71843c2ea1ce88430bf98,2023-03-22,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.37,-2.939,7.265,5.337,7.635,8.333,52.0,56.71,51.42,56.71,150676565.0,8290109496.01,7.08,10.0097,,85c7a427805ba02f90e82dfca0d17185,2023-03-23,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.532,-3.192,3.382,3.263,5.915,6.323,57.0,60.83,56.5,60.02,141482403.0,8249835538.6,6.648,5.8367,,a1f35676988dc954eede028368444e64,2023-03-24,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.185,-3.093,-0.182,2.681,4.003,5.872,59.19,62.05,58.5,60.46,123458207.0,7443330220.31,5.8011,0.7331,,ce3adc0e183d4baa2649e45aaf102bc8,2023-03-27,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.507,-2.883,4.396,3.163,6.902,5.89,59.21,60.35,57.93,58.24,80781508.0,4771641727.27,3.7958,-3.6718,,32e31e43a089fb4d845fd68b7f22a81e,2023-03-28,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.038,-2.797,1.586,2.898,4.624,5.812,57.78,60.8,56.78,59.25,103826791.0,6106902149.32,4.8786,1.7342,,cdce4631cb364cd9d152ac0afb8d472d,2023-03-29,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.178,-2.682,9.171,2.593,11.349,5.32,59.0,60.19,57.45,58.77,64475592.0,3790552542.39,3.0296,-0.8101,,171eb784601d7f14492b5868fdfcbddb,2023-03-30,sz.002230,科大讯飞,0,2023-12-18 21:02:14
2.607,-3.109,8.982,3.263,6.376,6.723,58.68,64.16,57.49,63.68,110212999.0,6759843410.89,5.1787,8.3546,,2c7289ecae673ba9ff731140ec5eff38,2023-03-31,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-7.027,-3.243,1.154,2.955,8.182,6.806,66.0,69.4,65.34,69.3,136890488.0,9229453694.69,6.4322,8.8254,,09ab92269abf4df83f7bd47cf54bfc8a,2023-04-03,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.097,-3.174,-0.288,3.3,3.809,6.29,68.55,70.1,64.43,65.9,120214252.0,8110502760.87,5.6487,-4.9062,,3e63ff2c1cce01c748739d04dccd97df,2023-04-04,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.375,-3.729,4.142,2.627,5.517,5.5,64.17,65.71,63.2,63.98,84770745.0,5455377206.07,3.9832,-2.9135,,674685dcc282c6b884b6c45809d3c3fd,2023-04-06,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-10.0,-2.776,-1.099,2.808,8.901,5.439,64.79,66.63,63.1,65.5,69224030.0,4501211597.49,3.2527,2.3757,,de9af7ac8fdbbede0c44dc373a127bd5,2023-04-07,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.628,-5.789,4.377,2.295,5.004,7.033,64.65,64.78,58.95,58.95,111235028.0,6778609826.14,5.2267,-10.0,,7ce53cd0c41ea0872cfd4e1008d69efe,2023-04-10,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.086,-2.853,3.926,2.703,5.013,5.616,59.0,61.53,58.58,59.85,89788309.0,5383179070.61,4.219,1.5267,,b8b4bd3773f8f7087f36102e14943fd7,2023-04-11,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.584,-2.777,-0.907,2.873,3.677,5.605,59.5,62.2,59.2,61.74,78409211.0,4798331731.6,3.6843,3.1579,,9ec0000c3adb02125236839355b2c2ed,2023-04-12,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.029,-2.789,2.217,2.836,5.246,5.462,60.87,61.18,58.91,59.09,72101394.0,4307269088.23,3.3879,-4.2922,,60d55d0af22afdc1f2d9a3c761bc7bc6,2023-04-13,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.346,-2.739,-0.084,2.6,3.261,5.355,59.3,60.4,57.3,59.18,68678167.0,4034569415.86,3.2271,0.1523,,def1c5bad83ac6848eaa096de2b840cc,2023-04-14,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.151,-2.716,4.293,2.518,5.444,5.331,58.97,59.13,57.2,58.23,58440874.0,3384933657.49,2.746,-1.6053,,0aa11cdd5d667b3c49629c7b9419726f,2023-04-17,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.744,-2.818,1.707,2.727,4.451,5.523,58.6,60.73,57.56,59.76,70458994.0,4175228553.87,3.3107,2.6275,,b90e43ff2f51e0032691643ccb1c6471,2023-04-18,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.111,-2.673,9.725,2.771,10.836,5.411,59.14,60.78,58.12,58.51,78471479.0,4659004624.24,3.6872,-2.0917,,207389711a674af5fa27d95febbb06d3,2023-04-19,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-9.539,-3.123,4.613,4.929,14.152,8.079,58.25,64.2,57.86,63.95,124156828.0,7614780419.49,5.8339,9.2976,,26f2bd550feb9d279bf613136fb0f8c5,2023-04-20,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.017,-3.17,5.1,2.797,5.117,6.204,65.0,66.9,57.85,58.04,159104626.0,9852330811.86,7.4772,-9.2416,,31ba965f83c4513e9380ea71e82d295d,2023-04-21,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.306,-2.944,5.956,2.615,6.263,5.601,58.3,61.0,58.03,58.76,95428351.0,5673986453.69,4.4847,1.2405,,a2c9427f458690918de7ad9cf64acb45,2023-04-24,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-8.485,-2.998,2.338,2.884,10.822,5.903,58.6,62.26,58.58,61.17,105868955.0,6421291815.12,4.9754,4.1014,,00e4efb62ce646b4004d4e2dcbf3f141,2023-04-25,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.791,-2.942,1.439,3.067,6.23,6.08,62.0,62.6,55.98,56.98,116552398.0,6845948272.87,5.4775,-6.8498,,09b25b371ad3b498e3b12e6db097165c,2023-04-26,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.65,-2.817,10.007,2.757,10.658,5.526,55.95,57.8,54.25,55.36,87424565.0,4855002717.29,4.1086,-2.8431,,c75f0db42650484b10790e0df5092991,2023-04-27,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.983,-2.971,1.634,5.097,6.617,7.612,55.36,60.9,55.0,60.6,106469723.0,6231632534.46,5.0036,9.4653,,6755389b5445a565dd03844a50efcecc,2023-04-28,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.484,-3.798,2.684,2.229,7.168,5.818,60.48,61.59,57.58,59.99,83036940.0,4919842117.14,3.9024,-1.0066,,3ccdde18eb47d54b0c8fe80a20d4ca3b,2023-05-04,sz.002230,科大讯飞,0,2023-12-18 21:02:14
2.153,-2.911,10.009,2.683,7.855,5.505,59.25,61.6,57.3,58.05,76213234.0,4509181229.8,3.5817,-3.2339,,224f1690208ecd6ff6f321faa3b45685,2023-05-05,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.441,-2.873,4.557,5.298,5.997,8.239,60.46,63.86,59.3,63.86,138917910.0,8706685332.7,6.5285,10.0086,,c1bfe6bf169d2809ecdaf945b88ebfba,2023-05-08,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.318,-3.064,4.014,2.773,6.332,6.081,65.3,66.77,62.94,64.28,138239787.0,8987452842.7,6.4967,0.6577,,677e06e167372dc6791a1af9368e8688,2023-05-09,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-8.281,-2.797,1.757,2.849,10.038,5.817,64.41,66.86,62.79,65.45,108835436.0,7067612229.47,5.1148,1.8202,,1054664e2068960f562b8c0c2b86059e,2023-05-10,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.06,-2.965,4.545,2.901,5.605,5.738,65.5,66.6,60.03,62.27,108976870.0,6817791135.17,5.1214,-4.8587,,c630dc077922bb49cbd1bae3723ab746,2023-05-11,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.21,-2.814,2.625,2.829,5.835,5.579,62.25,65.1,61.61,63.24,82836266.0,5264846962.03,3.8929,1.5577,,33f7eefbf523482000892a6255f52193,2023-05-12,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-7.825,-2.793,-0.626,2.59,7.199,5.412,64.5,64.9,61.21,63.9,75605752.0,4736662278.32,3.5531,1.0436,,441474d8ca2acbe5af9934fe026701fc,2023-05-15,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.552,-3.03,0.812,3.653,4.364,6.56,63.1,63.5,58.9,59.12,97069542.0,5922784181.81,4.5618,-7.4804,,5e70c83eaf99957dbe2cb9cff88d0cbe,2023-05-16,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.166,-2.647,6.703,2.737,7.869,5.373,59.08,59.6,57.02,58.33,72586782.0,4228517854.29,3.4113,-1.3363,,e9296fe295454750e4328ba8870b214b,2023-05-17,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.549,-2.902,0.997,2.963,3.546,5.761,58.53,62.24,57.65,61.19,85217974.0,5164542574.01,4.0049,4.9031,,45091058009db4e604526dc74422d593,2023-05-18,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.204,-2.749,0.901,2.5,4.105,5.28,60.82,61.8,59.63,59.92,48427466.0,2934743884.6,2.2759,-2.0755,,497f29a309d6d80e12094cebfcec6231,2023-05-19,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.345,-2.647,2.226,2.482,4.57,5.253,60.03,60.46,58.0,58.86,45089016.0,2659317822.53,2.119,-1.769,,aa8b8a43b41d29cb929d57745a5cc1f4,2023-05-22,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-9.46,-2.605,0.795,2.468,10.256,5.177,58.83,60.17,57.48,59.09,45097559.0,2659514621.59,2.1194,0.3908,,91c1ab8b445f717273af1a34baba6066,2023-05-23,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.836,-2.847,0.141,2.972,3.977,5.777,59.08,59.56,53.5,56.57,110471930.0,6232977896.23,5.1917,-4.2647,,338db39d58f5d12c2fc36d29218d6f5f,2023-05-24,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.672,-2.718,2.607,2.715,4.28,5.385,55.7,56.65,54.4,55.61,73903411.0,4098201322.58,3.4731,-1.697,,9cf9755a5f1914f2da759decc732397e,2023-05-25,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.702,-2.668,2.243,2.707,4.944,5.353,55.72,57.06,54.68,56.63,56309256.0,3166622300.27,2.6463,1.8342,,35c885416d2fbb441ef6abe6b4fa7a43,2023-05-26,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.107,-2.671,8.489,2.494,8.596,5.293,57.3,57.9,55.1,55.84,51735864.0,2910531932.25,2.4314,-1.395,,5bde05d6f297959bdd60db1ea5fc7445,2023-05-29,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.827,-3.028,0.399,3.038,2.226,6.528,56.03,60.58,55.78,60.2,102338959.0,5991606798.55,4.8095,7.808,,dc96ebd384d9b2a07e9f20ec576a1415,2023-05-30,sz.002230,科大讯飞,0,2023-12-18 21:02:14
0.736,-2.557,10.008,2.589,9.272,5.289,59.89,60.44,59.1,59.75,59836743.0,3576003156.33,2.8121,-0.7475,,d655c199a4a754b9e10f00aabf0932b6,2023-05-31,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.228,-2.685,2.358,5.441,2.586,7.555,60.6,65.73,60.19,65.73,98116916.0,6260871921.88,4.6111,10.0084,,f071ee29cea8413d63709242dad6785b,2023-06-01,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.455,-2.989,0.539,2.926,2.994,5.948,66.38,67.28,65.58,66.8,111859053.0,7430883271.66,5.2569,1.6279,,cc2fbe66bc1fe784d6b21992dcf6da7a,2023-06-02,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-5.801,-2.821,-0.12,2.588,5.682,5.488,66.1,67.16,65.16,66.88,78270205.0,5188852932.53,3.6784,0.1198,,58c717f6cc5e00e1ecb3d4f33c9bbf7e,2023-06-05,sz.002230,科大讯飞,0,2023-12-18 21:02:14
1.258,-3.004,3.695,3.359,2.437,6.15,66.59,66.8,63.0,63.6,92039370.0,5944949892.43,4.3257,-4.9043,,d9f0b79ed3f1738acabfeed57e50daf6,2023-06-06,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.511,-2.708,-0.508,2.785,3.003,5.519,64.87,65.95,64.4,64.94,72581349.0,4722783553.05,3.4112,2.1069,,14a555795971e7f8095a3c635b1c5428,2023-06-07,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.884,-2.632,4.47,2.528,6.354,5.242,64.02,64.61,62.66,64.21,54491541.0,3465962149.31,2.561,-1.1241,,4d8ad77eb612c18be3b6c3b14576e3d9,2023-06-08,sz.002230,科大讯飞,0,2023-12-18 21:02:14
0.211,-3.099,5.652,3.044,5.441,5.989,64.33,67.08,63.0,66.35,116603388.0,7621901683.76,5.4802,3.3328,,496fee83f37b7f80e35217d05746a9af,2023-06-09,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.161,-3.19,9.927,2.786,12.088,6.169,67.7,70.1,66.49,68.5,132580811.0,9101060014.95,6.2311,3.2404,,ea2acdbe4ba1d5a26d2b9543ba2c4d3f,2023-06-12,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.349,-3.06,0.681,4.779,2.031,8.024,67.23,75.3,67.02,74.85,158395779.0,11578344009.81,7.4444,9.2701,,588115ac8db310ca2cf0c9aea5c22814,2023-06-13,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.299,-2.792,0.719,2.786,5.018,5.785,74.0,75.36,73.84,75.13,103276083.0,7707370278.22,4.8539,0.3741,,493cff8cf5574eec945ec6538ae8483d,2023-06-14,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.631,-2.893,3.458,2.713,4.089,5.54,75.28,75.67,71.9,72.88,91856347.0,6753719406.48,4.3171,-2.9948,,be0cc4f5a11e21152ff12c7469f7484a,2023-06-15,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.503,-2.887,3.512,2.826,6.015,5.657,73.0,75.4,72.42,74.31,86905768.0,6440055759.29,4.0845,1.9621,,f459a8a25ea3a7792ea390254d3bb82b,2023-06-16,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.455,-2.968,8.466,2.594,9.921,5.67,73.0,76.92,72.45,75.6,96899286.0,7248051184.15,4.5542,1.736,,140472ef235b1713e0ded331fc5c3382,2023-06-19,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.973,-3.115,1.2,2.835,5.173,5.856,75.0,82.0,74.5,80.8,129543203.0,10214702509.02,6.0884,6.8783,,7d0a919a4e51d5aec5d181cfdbd293b9,2023-06-20,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-7.332,-2.766,0.966,2.838,8.299,5.578,79.99,81.77,77.59,77.6,94836955.0,7525339511.63,4.4572,-3.9604,,7b759047097b3364499058ef3093f81c,2023-06-21,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.966,-3.302,1.725,2.751,4.691,6.219,76.25,78.35,71.91,72.48,103786644.0,7733680189.84,4.8779,-6.5979,,3c908dbd8653472d7029e515e4f29c36,2023-06-26,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-6.945,-2.744,-0.759,2.574,6.185,5.336,73.26,73.73,70.33,72.43,64798096.0,4660619687.53,3.0454,-0.069,,e430b513c6b216bdd0c863e31decbb5f,2023-06-27,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.129,-2.787,1.471,2.847,4.6,5.578,71.79,71.88,67.4,69.35,96275179.0,6633760700.74,4.5246,-4.2524,,f5b133f36dccaa9e4e9f313060d82518,2023-06-28,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.2,-2.755,-0.029,2.653,4.171,5.432,70.17,70.37,67.18,69.05,77321695.0,5310232301.61,3.6338,-0.4326,,095fe1cb26811aee889b0fbfa57afc82,2023-06-29,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-6.592,-2.21,0.868,1.89,7.46,4.25,68.01,69.03,66.15,67.96,86205102.0,5819472316.41,4.0513,-1.5786,,2fcff55e989872680870499a175e9f50,2023-06-30,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.71,-3.037,2.27,2.754,3.98,5.844,68.2,68.55,63.48,66.08,101401382.0,6653381347.9,4.7655,-2.7663,,ca194ee16ce8fab68204ef193e514570,2023-07-03,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.991,-2.744,0.105,2.572,3.096,5.336,66.08,67.58,64.95,66.54,66066133.0,4383302585.6,3.1049,0.6961,,a06d3aee26bdd139bc837d41ac49e239,2023-07-04,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.124,-2.555,6.818,2.628,6.942,5.224,65.97,66.61,64.55,64.68,56394287.0,3683897124.83,2.6503,-2.649,,f6c231c8d65c66642ac9c8ffe9db288c,2023-07-05,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.513,-3.021,4.245,2.901,8.758,5.885,64.6,69.09,64.6,67.14,103623800.0,6978226377.28,4.8699,3.8033,,0186ff3f327326819ff38eb9b55534e5,2023-07-06,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.3,-2.96,-1.035,2.938,3.265,5.886,67.19,69.99,64.11,68.61,108818735.0,7339788985.26,5.1141,2.1895,,6b8b591b900ace5660719e92fbf30265,2023-07-07,sz.002230,科大讯飞,0,2023-12-18 21:02:14
0.0,-2.92,5.767,2.726,5.767,5.565,67.71,67.9,65.66,65.89,73591689.0,4882647418.45,3.4585,-3.9644,,53cb4107969b52f747fe7e863793954e,2023-07-10,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.183,-3.02,0.911,3.007,3.094,5.917,65.9,69.69,65.89,69.17,98933568.0,6777281283.93,4.6495,4.978,,9c37e8259361038114d6f6010f0060eb,2023-07-11,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.798,-2.685,1.952,2.762,6.75,5.42,68.19,69.8,67.66,68.15,81473991.0,5575304283.65,3.829,-1.4746,,7b6c40ae215f8b11bcf84607adc5679e,2023-07-12,sz.002230,科大讯飞,0,2023-12-18 21:02:14
0.819,-2.97,5.604,2.746,4.785,5.892,68.35,69.48,64.88,68.34,112755052.0,7507820136.15,5.2991,0.2788,,4a50b7814977704aeb930c8d1e97d055,2023-07-13,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.009,-2.998,2.579,2.962,4.588,5.873,69.0,72.17,68.9,70.19,100301627.0,7106430365.53,4.7138,2.7071,,3dd078e3c9530109be8962c3c55138fa,2023-07-14,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-4.143,-2.699,1.0,2.441,5.143,5.244,69.05,72.0,68.78,70.0,53602046.0,3768444071.72,2.5191,-0.2707,,5bbac00d068c0fde8a68878feb9175e5,2023-07-17,sz.002230,科大讯飞,0,2023-12-18 21:02:14
0.477,-2.889,5.02,3.128,4.543,5.845,70.1,70.7,67.1,67.13,61372310.0,4215092082.33,2.8843,-4.1,,d67808894adedb82e12bfafcbcff1d64,2023-07-18,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-5.579,-2.56,0.797,2.559,6.375,5.273,69.36,70.5,67.45,67.76,55907146.0,3846273301.06,2.6274,0.9385,,d77788123444f9356fdf24a710f2c3e0,2023-07-19,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.015,-2.879,2.545,2.935,3.56,5.662,68.05,68.3,63.98,64.05,78239167.0,5120828255.05,3.6769,-5.4752,,d856eb042aaa65446d4c730687676bd4,2023-07-20,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.973,-2.604,1.796,2.409,4.769,5.181,63.77,65.68,63.4,64.58,43948807.0,2835459893.33,2.0654,0.8275,,70915a84e21cb589e5c59517cf2d9b48,2023-07-21,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.552,-2.734,2.823,2.52,3.375,5.328,64.0,65.74,62.66,63.41,58154345.0,3720748979.96,2.733,-1.8117,,6c8d1bba56509e33d319e39e2fdc9b57,2023-07-24,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-3.39,-2.663,-0.171,2.514,3.219,5.254,64.45,65.2,63.06,64.31,52614422.0,3378609810.63,2.4727,1.4193,,f930ed7fcbfd17199ee76386476b4895,2023-07-25,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.989,-1.72,1.228,1.718,2.216,3.652,64.0,64.2,62.13,62.72,51964464.0,3271154996.56,2.4421,-2.4724,,67aebdd78a7395516b36f8000c38ccf4,2023-07-26,sz.002230,科大讯飞,0,2023-12-18 21:02:14
