,primary_key,date,shares_held,high,low,action,price,volume,state
0,256b2e297cc1d8c4a8143c14075b68fb,2023-03-02,0,52.52,49.38,buy,47.63,0,withdraw
1,256b2e297cc1d8c4a8143c14075b68fb,2023-03-03,15037,52.2,49.61,buy,50.13,15037,make_a_deal
2,256b2e297cc1d8c4a8143c14075b68fb,2023-03-06,15037,51.18,49.58,sell,51.44,0,withdraw
3,256b2e297cc1d8c4a8143c14075b68fb,2023-03-06,15037,51.18,49.58,buy,48.49,0,withdraw
4,256b2e297cc1d8c4a8143c14075b68fb,2023-03-07,15037,50.58,48.3,sell,51.57,0,withdraw
5,256b2e297cc1d8c4a8143c14075b68fb,2023-03-07,18192,50.58,48.3,buy,48.32,3155,make_a_deal
6,256b2e297cc1d8c4a8143c14075b68fb,2023-03-08,18192,48.88,47.56,sell,50.78,0,withdraw
7,256b2e297cc1d8c4a8143c14075b68fb,2023-03-08,19119,48.88,47.56,buy,47.86,927,make_a_deal
8,256b2e297cc1d8c4a8143c14075b68fb,2023-03-09,19119,49.16,47.72,sell,50.86,0,withdraw
9,256b2e297cc1d8c4a8143c14075b68fb,2023-03-09,19119,49.16,47.72,buy,46.73,0,withdraw
10,256b2e297cc1d8c4a8143c14075b68fb,2023-03-10,19119,48.87,47.0,sell,49.54,0,withdraw
11,256b2e297cc1d8c4a8143c14075b68fb,2023-03-10,19119,48.87,47.0,buy,46.91,0,withdraw
12,256b2e297cc1d8c4a8143c14075b68fb,2023-03-13,19119,49.35,47.1,sell,49.5,0,withdraw
13,256b2e297cc1d8c4a8143c14075b68fb,2023-03-13,19119,49.35,47.1,buy,46.1,0,withdraw
14,256b2e297cc1d8c4a8143c14075b68fb,2023-03-14,19119,49.15,47.39,sell,51.56,0,withdraw
15,256b2e297cc1d8c4a8143c14075b68fb,2023-03-14,19119,49.15,47.39,buy,46.84,0,withdraw
16,256b2e297cc1d8c4a8143c14075b68fb,2023-03-15,15969,50.38,47.95,sell,50.36,3150,make_a_deal
17,256b2e297cc1d8c4a8143c14075b68fb,2023-03-15,15969,50.38,47.95,buy,46.9,0,withdraw
18,256b2e297cc1d8c4a8143c14075b68fb,2023-03-16,14663,50.08,47.11,sell,50.02,1306,make_a_deal
19,256b2e297cc1d8c4a8143c14075b68fb,2023-03-16,14663,50.08,47.11,buy,46.29,0,withdraw
20,256b2e297cc1d8c4a8143c14075b68fb,2023-03-17,3281,53.59,49.94,sell,51.87,11382,make_a_deal
21,256b2e297cc1d8c4a8143c14075b68fb,2023-03-17,3281,53.59,49.94,buy,46.97,0,withdraw
22,256b2e297cc1d8c4a8143c14075b68fb,2023-03-20,3281,53.29,50.95,sell,53.84,0,withdraw
23,256b2e297cc1d8c4a8143c14075b68fb,2023-03-20,3281,53.29,50.95,buy,50.16,0,withdraw
24,256b2e297cc1d8c4a8143c14075b68fb,2023-03-21,3281,51.86,49.8,sell,52.53,0,withdraw
25,256b2e297cc1d8c4a8143c14075b68fb,2023-03-21,13687,51.86,49.8,buy,50.18,10406,make_a_deal
26,256b2e297cc1d8c4a8143c14075b68fb,2023-03-22,13687,51.55,49.58,sell,52.24,0,withdraw
27,256b2e297cc1d8c4a8143c14075b68fb,2023-03-22,15386,51.55,49.58,buy,50.22,1699,make_a_deal
28,256b2e297cc1d8c4a8143c14075b68fb,2023-03-23,7480,56.71,51.42,sell,55.71,7906,make_a_deal
29,256b2e297cc1d8c4a8143c14075b68fb,2023-03-23,7480,56.71,51.42,buy,48.99,0,withdraw
30,256b2e297cc1d8c4a8143c14075b68fb,2023-03-24,5786,60.83,56.5,sell,60.42,1694,make_a_deal
31,256b2e297cc1d8c4a8143c14075b68fb,2023-03-24,5786,60.83,56.5,buy,54.09,0,withdraw
32,256b2e297cc1d8c4a8143c14075b68fb,2023-03-27,4257,62.05,58.5,sell,61.94,1529,make_a_deal
33,256b2e297cc1d8c4a8143c14075b68fb,2023-03-27,4257,62.05,58.5,buy,56.31,0,withdraw
34,256b2e297cc1d8c4a8143c14075b68fb,2023-03-28,4257,60.35,57.93,sell,63.08,0,withdraw
35,256b2e297cc1d8c4a8143c14075b68fb,2023-03-28,10750,60.35,57.93,buy,58.34,6493,make_a_deal
36,256b2e297cc1d8c4a8143c14075b68fb,2023-03-29,10750,60.8,56.78,sell,61.09,0,withdraw
37,256b2e297cc1d8c4a8143c14075b68fb,2023-03-29,10750,60.8,56.78,buy,55.95,0,withdraw
38,256b2e297cc1d8c4a8143c14075b68fb,2023-03-30,10750,60.19,57.45,sell,62.31,0,withdraw
39,256b2e297cc1d8c4a8143c14075b68fb,2023-03-30,10750,60.19,57.45,buy,56.09,0,withdraw
40,256b2e297cc1d8c4a8143c14075b68fb,2023-03-31,4296,64.16,57.49,sell,61.7,6454,make_a_deal
41,256b2e297cc1d8c4a8143c14075b68fb,2023-03-31,4296,64.16,57.49,buy,57.06,0,withdraw
42,256b2e297cc1d8c4a8143c14075b68fb,2023-04-03,2493,69.4,65.34,sell,67.39,1803,make_a_deal
43,256b2e297cc1d8c4a8143c14075b68fb,2023-04-03,2493,69.4,65.34,buy,59.61,0,withdraw
44,256b2e297cc1d8c4a8143c14075b68fb,2023-04-04,13551,70.1,64.43,buy,67.83,11058,make_a_deal
45,256b2e297cc1d8c4a8143c14075b68fb,2023-04-06,13551,65.71,63.2,sell,67.27,0,withdraw
46,256b2e297cc1d8c4a8143c14075b68fb,2023-04-06,13551,65.71,63.2,buy,62.52,0,withdraw
47,256b2e297cc1d8c4a8143c14075b68fb,2023-04-07,7110,66.63,63.1,sell,66.2,6441,make_a_deal
48,256b2e297cc1d8c4a8143c14075b68fb,2023-04-07,7110,66.63,63.1,buy,61.44,0,withdraw
49,256b2e297cc1d8c4a8143c14075b68fb,2023-04-10,7110,64.78,58.95,sell,68.32,0,withdraw
50,256b2e297cc1d8c4a8143c14075b68fb,2023-04-10,12273,64.78,58.95,buy,59.84,5163,make_a_deal
51,256b2e297cc1d8c4a8143c14075b68fb,2023-04-11,9591,61.53,58.58,sell,60.99,2682,make_a_deal
52,256b2e297cc1d8c4a8143c14075b68fb,2023-04-11,9591,61.53,58.58,buy,55.78,0,withdraw
53,256b2e297cc1d8c4a8143c14075b68fb,2023-04-12,1542,62.2,59.2,sell,61.73,8049,make_a_deal
54,256b2e297cc1d8c4a8143c14075b68fb,2023-04-12,1542,62.2,59.2,buy,57.85,0,withdraw
55,256b2e297cc1d8c4a8143c14075b68fb,2023-04-13,1542,61.18,58.91,sell,64.81,0,withdraw
56,256b2e297cc1d8c4a8143c14075b68fb,2023-04-13,13435,61.18,58.91,buy,59.48,11893,make_a_deal
57,256b2e297cc1d8c4a8143c14075b68fb,2023-04-14,13435,60.4,57.3,sell,61.73,0,withdraw
58,256b2e297cc1d8c4a8143c14075b68fb,2023-04-14,13435,60.4,57.3,buy,56.85,0,withdraw
59,256b2e297cc1d8c4a8143c14075b68fb,2023-04-17,13435,59.13,57.2,sell,60.99,0,withdraw
60,256b2e297cc1d8c4a8143c14075b68fb,2023-04-17,13435,59.13,57.2,buy,55.92,0,withdraw
61,256b2e297cc1d8c4a8143c14075b68fb,2023-04-18,13435,60.73,57.56,sell,61.11,0,withdraw
62,256b2e297cc1d8c4a8143c14075b68fb,2023-04-18,13435,60.73,57.56,buy,55.33,0,withdraw
63,256b2e297cc1d8c4a8143c14075b68fb,2023-04-19,13435,60.78,58.12,sell,62.54,0,withdraw
64,256b2e297cc1d8c4a8143c14075b68fb,2023-04-19,17264,60.78,58.12,buy,58.13,3829,make_a_deal
65,256b2e297cc1d8c4a8143c14075b68fb,2023-04-20,15140,64.2,57.86,sell,60.56,2124,make_a_deal
66,256b2e297cc1d8c4a8143c14075b68fb,2023-04-20,15140,64.2,57.86,buy,55.58,0,withdraw
